,ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,community_area
904,310,Damen Ave & Charleston St,11,11,In Service,41.920082,-87.677855,"(41.920082, -87.677855)",LOGAN_SQUARE
905,531,Central Ave & Lake St,11,11,In Service,41.887664,-87.765469,"(41.887664, -87.765469)",AUSTIN
906,292,Southport Ave & Clark St,11,11,In Service,41.957081,-87.664199,"(41.957081, -87.664199)",LAKE_VIEW
907,630,Kildare Ave & Montrose Ave,15,15,In Service,41.96108,-87.73569,"(41.96108, -87.73569)",IRVING_PARK
908,246,Ashland Ave & Belle Plaine Ave,11,11,In Service,41.956057,-87.668835,"(41.956057, -87.668835)",LAKE_VIEW
909,146,Loomis St & Jackson Blvd,19,19,In Service,41.877945,-87.662007,"(41.877945, -87.662007)",NEAR_WEST_SIDE
910,166,Ashland Ave & Wrightwood Ave,15,15,In Service,41.92883,-87.668507,"(41.92883, -87.668507)",LINCOLN_PARK
911,514,Ridge Blvd & Howard St,11,11,In Service,42.019276,-87.68452,"(42.019276, -87.68452)",ROGERS_PARK
912,196,Cityfront Plaza Dr & Pioneer Ct,31,31,In Service,41.890573,-87.622072,"(41.890573, -87.622072)",NEAR_NORTH_SIDE
913,305,Western Ave & Division St,23,23,In Service,41.902893,-87.687275,"(41.902893, -87.687275)",WEST_TOWN
914,576,Greenwood Ave & 79th St,11,11,In Service,41.751294,-87.597552,"(41.751294, -87.597552)",CHATHAM
915,251,Clarendon Ave & Leland Ave,15,15,In Service,41.967968,-87.650001,"(41.967968, -87.650001)",UPTOWN
916,542,Central Ave & Madison St,11,11,In Service,41.880121,-87.763238,"(41.880121, -87.763238)",AUSTIN
917,652,Rhodes Ave & 71st St,11,11,In Service,41.766,-87.611726,"(41.766, -87.611726)",GREATER_GRAND_CROSSING
918,201,Indiana Ave & 40th St,11,11,In Service,41.82168,-87.6216,"(41.82168, -87.6216)",GRAND_BOULEVARD
919,331,Halsted St & Clybourn Ave,27,27,In Service,41.909668,-87.648128,"(41.909668, -87.648128)",NEAR_NORTH_SIDE
920,242,Damen Ave & Leland Ave,15,15,In Service,41.967094,-87.679028,"(41.967094, -87.679028)",LINCOLN_SQUARE
921,185,Stave St & Armitage Ave,11,11,In Service,41.917741,-87.691392,"(41.917741, -87.691392)",LOGAN_SQUARE
922,346,Ada St & Washington Blvd,15,15,In Service,41.88283,-87.661206,"(41.88283, -87.661206)",NEAR_WEST_SIDE
923,549,Marshfield Ave & 44th St,11,11,In Service,41.813996,-87.666589,"(41.813996, -87.666589)",NEW_CITY
