the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
POINT (-87.67892299900001 41.881336999999974),470,MADISON,HOYNE,WB,NS,20,N20,CHICAGO,Madison & Hoyne
POINT (-87.611537 41.72205300000002),2104,95TH STREET,EBERHART,WB,NS,"3,N5,95,115",N5,CHICAGO,95th Street & Eberhart
POINT (-87.78828411 41.77397589899999),3342,65TH STREET,NORMANDY,WB,NS,165,,CHICAGO,65th Street & Normandy
POINT (-87.59372725100002 41.73686727900002),17098,87TH STREET,AVALON,WB,FS,87,,CHICAGO,87th Street & Avalon
POINT (-87.72903943900002 41.953745690000005),5710,IRVING PARK,KEYSTONE,WB,NS,80,,CHICAGO,Irving Park & Keystone (Blue Line)
POINT (-87.583830455 41.773418424),5314,67TH STREET,EAST END,WB,NT,"N5,6,15,67",N5,CHICAGO,67th Street & East End
POINT (-87.68868466700002 41.877590708000014),4723,JACKSON,CAMPBELL,WB,NS,126,,CHICAGO,Jackson & Campbell
POINT (-87.70140483099999 41.80822288799999),8099,47TH STREET,ALBANY,WB,NS,47,,CHICAGO,47th Street & Albany
POINT (-87.72774700999997 41.87439868199999),237,CONGRESS,KARLOV,WB,NS,7,,CHICAGO,Congress & Karlov
POINT (-87.64947699999999 41.8818),458,MADISON,PEORIA,WB,NS,20,N20,CHICAGO,Madison & Peoria
POINT (-87.77271100000002 41.967760999999996),9688,LAWRENCE,MENARD (west leg),WB,NS,"81W,91",,CHICAGO,Lawrence & Menard
POINT (-87.70520000099998 41.764399001000015),10122,71ST STREET,SPAULDING,WB,NT,67,,CHICAGO,71st Street & Spaulding
POINT (-87.65499111100002 41.86711341),335,ROOSEVELT,MAY,WB,NS,12,,CHICAGO,Roosevelt & May
POINT (-87.83101847400002 41.966765166000016),9749,LAWRENCE,PROSPECT,WB,FS,81W,,NORRIDGE,Lawrence & Prospect
POINT (-87.69960033500001 41.73537769500001),9517,87TH STREET,ALBANY,WB,NT,87,,CHICAGO,87th Street & Albany
POINT (-87.60960099900001 41.65749899999997),7586,131ST STREET,RHODES,WB,MT,34,N34,CHICAGO,131st Street & Rhodes
POINT (-87.73828723399998 41.948029281000004),5578,MILWAUKEE,KOSTNER,NWB,NS,56,,CHICAGO,Milwaukee & Kostner
POINT (-87.711722178 41.749561828000026),2732,79TH STREET,CENTRAL PARK,EB,FS,79,,CHICAGO,79th Street & Central Park
POINT (-87.59599041199999 41.77317618799998),10191,67TH STREET,WOODLAWN,EB,MT,"N5,67",N5,CHICAGO,67th Street & Woodlawn
POINT (-87.66642039099997 41.76845727900002),10156,69TH STREET,PAULINA,EB,NS,67,,CHICAGO,69th Street & Paulina
POINT (-87.64093200100001 41.72138699999999),3506,95TH STREET,UNION,EB,NS,"N9,95,108,112",N9,CHICAGO,95th Street & Union
POINT (-87.67774389599998 42.01937361900002),3632,HOWARD,WOLCOTT,EB,NS,"97,201,206",,CHICAGO,Howard & Wolcott
POINT (-87.712598431 41.786029342000006),12961,59TH STREET,CENTRAL PARK,EB,FS,59,,CHICAGO,59th Street & Central Park
POINT (-87.60530835499998 41.80159245599998),9188,PAYNE,COTTAGE GROVE,EB,MB,2,,CHICAGO,Payne & Cottage Grove
POINT (-87.58077300000002 41.766013000999976),10804,71ST STREET,CONSTANCE (west leg),EB,NS,71,,CHICAGO,71st Street & Constance
POINT (-87.78789599999999 41.97012699999999),9695,NAGLE,STRONG,NB,NS,86,,CHICAGO,Nagle & Strong
POINT (-87.67571700100001 41.85027100100001),8891,DAMEN,23RD STREET,NB,NS,50,,CHICAGO,Damen & 23rd Street
POINT (-87.61985695200002 41.70898174500002),7617,MICHIGAN,102ND STREET,NB,NS,"34,103,106,119",N34,CHICAGO,Michigan & 102nd Street
POINT (-87.77676100000002 41.954777999999976),9666,AUSTIN,BELLE PLAINE,NB,NS,91,,CHICAGO,Austin & Belle Plaine
POINT (-87.605572328 41.769433649999996),2488,COTTAGE GROVE,69TH STREET,NB,MT,4,,CHICAGO,Cottage Grove & 69th Street
POINT (-87.58405800100002 41.797912999999994),1652,S HYDE PARK,54TH STREET,SB,FS,"6,28",,CHICAGO,S Hyde Park & 54th Street
POINT (-87.71724700099998 41.842592000000025),11201,LAWNDALE,27TH STREET,SB,NS,82,,CHICAGO,Lawndale & 27th Street
POINT (-87.589321896 41.80572447499998),5035,LAKE PARK,49TH STREET,SB,NS,"2,6,28",,CHICAGO,Lake Park & 49th Street
POINT (-87.71181201500002 41.99706927099999),1355,McCORMICK,DEVON,SB,FS,"11,82",,CHICAGO,McCormick & Devon
POINT (-87.74478545099998 41.86409893000001),10257,CICERO,13TH STREET,SB,NS,54,,CICERO,Cicero & 13th Street
POINT (-87.559739412 41.70651025199999),12230,TORRENCE,104TH STREET,SB,NS,"26,100",,CHICAGO,Torrence & 104th Street
POINT (-87.67406010399998 41.78125613200001),8781,DAMEN,62ND STREET,SB,NS,48,,CHICAGO,Damen & 62nd Street
POINT (-87.585156042 41.802238940999985),1649,S HYDE PARK,E. HYDE PARK BLVD.,SB,FS,"6,28",,CHICAGO,S Hyde Park & E. Hyde Park Blvd.
POINT (-87.64452299999999 41.767142999999976),5854,HALSTED,70TH STREET,SB,NS,8,,CHICAGO,Halsted & 70th Street
POINT (-87.62376682299998 41.84715643999999),1602,MICHIGAN,25TH STREET,SB,FS,"1,4",N4,CHICAGO,Michigan & 25th Street
POINT (-87.77191399999998 41.79061300000001),4578,AUSTIN,56TH STREET,NB,NS,55A,,CHICAGO,Austin & 56th Street
POINT (-87.78335499999997 41.93096800000001),10974,DIVERSEY,MOBILE,EB,NS,76,,CHICAGO,Diversey & Mobile
POINT (-87.78113499199998 41.938323321999974),9246,BELMONT,MELVINA,EB,NS,77,N77,CHICAGO,Belmont & Melvina
POINT (-87.75551379400002 41.77822633599999),3288,63RD STREET,LOREL,WB,NT,63W,,CHICAGO,63rd Street & Lorel
POINT (-87.62659300000001 41.75804599999998),10931,75TH STREET,LAFAYETTE,EB,NS,75,,CHICAGO,75th Street & Lafayette
POINT (-87.60657937799999 41.80219055399999),1636,51ST STREET,COTTAGE GROVE,EB,NS,15,,CHICAGO,51st Street & Cottage Grove
POINT (-87.62482927899998 41.736161297000024),9408,87TH STREET,RED LINE STATION,EB,MB,87,N87,CHICAGO,87th Red Line Station
POINT (-87.60385916899997 41.81677623600001),8062,43RD STREET,DREXEL,EB,FS,43,,CHICAGO,43rd Street & Drexel
POINT (-87.77526960199998 41.901899121999975),9638,AUSTIN,DIVISION,NB,NS,91,,CHICAGO,Austin & Division
POINT (-87.78548899999998 41.9273),11748,NARRAGANSETT,WRIGHTWOOD,NB,NS,86,,CHICAGO,Narragansett & Wrightwood
POINT (-87.66492700100002 41.986658999999975),11476,RIDGE,GLENWOOD,NWB,NS,84,,CHICAGO,Ridge & Glenwood
POINT (-87.70914201099998 42.01197222299999),15445,KEDZIE,TOUHY,SB,NS,11,,SKOKIE,Kedzie & Touhy
POINT (-87.53997324699998 41.65189446800002),14030,AVENUE O,134TH STREET,SB,NS,30,,CHICAGO,Avenue O & 134th Street
POINT (-87.63236867400002 41.889375625000014),14528,LASALLE,KINZIE,NB,FS,156,,CHICAGO,LaSalle & Kinzie
POINT (-87.74613314099997 41.914171597000006),10226,CICERO,GRAND,SB,NS,54,,CHICAGO,Cicero & Grand
POINT (-87.69013526100002 42.01558983299998),1689,WESTERN,JARVIS(south leg),NB,NS,49B,,CHICAGO,Western & Jarvis
POINT (-87.66793247999999 41.91630396099998),6016,ASHLAND,CORTLAND,SB,NS,"9,X9",,CHICAGO,Ashland & Cortland
POINT (-87.82024992700002 42.00524886900001),9924,NORTHWEST HWY,OZARK,SEB,NS,68,,CHICAGO,Northwest Hwy & Ozark
POINT (-87.67907210099997 41.968634898999994),4955,DAMEN,LAWRENCE,NB,NS,50,,CHICAGO,Damen & Lawrence
POINT (-87.62664517399998 41.76532401700001),2437,LAFAYETTE,71ST STREET,SB,FS,29,,CHICAGO,Lafayette & 71st Street
POINT (-87.66736500000002 41.903733999999986),6252,ASHLAND,MILWAUKEE,NB,NS,"9,X9",N9,CHICAGO,Ashland & Milwaukee (Blue Line)
POINT (-87.66515500100002 41.98665399999999),11465,RIDGE,GLENWOOD,SEB,NS,84,,CHICAGO,Ridge & Glenwood
POINT (-87.771127358 41.93845382000001),15480,BELMONT,MENARD,EB,FS,77,N77,CHICAGO,Belmont & Menard
POINT (-87.67159299999997 41.871466999999996),6690,POLK,WOOD,EB,NS,157,,CHICAGO,Polk & Wood
POINT (-87.65362119299999 41.93257845400001),11028,DIVERSEY,SHEFFIELD,EB,FS,76,,CHICAGO,Diversey Brown Line Station
POINT (-87.71461123699999 41.749517276999995),2731,79TH STREET,LAWNDALE (west leg),EB,NS,79,,CHICAGO,79th Street & Lawndale
POINT (-87.67483486200001 41.808446656),8160,47TH STREET,DAMEN,EB,NS,"47,48",,CHICAGO,47th Street & Damen
POINT (-87.71104248900002 41.89543298900003),14517,CHICAGO,HOMAN,EB,FS,66,N66,CHICAGO,Chicago & Homan
POINT (-87.56664300099999 41.76580000000001),10812,71ST STREET,YATES,EB,NS,71,,CHICAGO,71st Street & Yates
POINT (-87.70904956700002 41.99732670399999),1721,DEVON,KEDZIE,EB,FS,155,,CHICAGO,Devon & Kedzie
POINT (-87.75703559499999 41.945903586999975),12499,ADDISON,LARAMIE,EB,NS,152,,CHICAGO,Addison & Laramie
POINT (-87.62908731700003 41.830887039000004),7681,35TH STREET,FEDERAL,EB,NS,"31,35",,CHICAGO,35th Street & Federal
POINT (-87.696548 41.886481),4225,FULTON,CALIFORNIA,EB,NS,94,,CHICAGO,Fulton & California
POINT (-87.84400204500002 41.96635355199999),8579,LAWRENCE,OAKVIEW,EB,NS,81W,,CHICAGO,Lawrence & Oakview
POINT (-87.77696699900002 41.95676900000001),9563,AUSTIN,BERTEAU,SB,NS,91,,CHICAGO,Austin & Berteau
POINT (-87.71234600100001 41.93023599999998),11145,KIMBALL,SCHUBERT,SB,NS,82,,CHICAGO,Kimball & Schubert
POINT (-87.68857902299999 42.04281293399998),14269,RIDGE,GREENWOOD,SB,NS,201,,EVANSTON,Ridge & Greenwood
POINT (-87.72394653200001 41.81322517199999),16070,PULASKI,44TH STREET,SB,FS,53A,,CHICAGO,Pulaski & 44th Street
POINT (-87.748069897 42.00815033700002),10469,CICERO,LUNT,SB,NT,54A,,LINCOLNWOOD,Cicero & Lunt
POINT (-87.67626800099998 41.865003),8880,DAMEN,13TH STREET,SB,NS,50,,CHICAGO,Damen & 13th Street
POINT (-87.78635700000001 41.95011199999999),11761,NARRAGANSETT,BERENICE,NB,NS,86,,CHICAGO,Narragansett & Berenice
POINT (-87.72187149899997 41.752724375000014),12915,PULASKI,77TH STREET,NB,NS,53A,,CHICAGO,Pulaski & 77th Street
POINT (-87.771346 41.77595600000001),4569,AUSTIN,64TH STREET,NB,NS,55A,,CHICAGO,Austin & 64th Street
POINT (-87.70177497999998 41.72220269899998),9983,KEDZIE,94TH STREET,NB,NS,52A,,EVERGREEN PARK,Kedzie & 94th Street
POINT (-87.649935454 41.96043050100002),4921,CLARENDON,JUNIOR TERRACE(south leg),SB,NS,"135,148",,CHICAGO,Clarendon & Junior Terrace
POINT (-87.69898999899999 42.05027000000001),14728,DODGE,LYONS,SB,NT,206,,EVANSTON,Dodge & Lyons
POINT (-87.64932470999997 41.94539580100002),5969,HALSTED,CORNELIA,NB,NS,8,,CHICAGO,Halsted & Cornelia
POINT (-87.53999379499999 41.68997408000001),7343,AVENUE O,113TH STREET,NB,NS,30,,CHICAGO,Avenue O & 113th Street
POINT (-87.61582005000002 41.791283663),15486,KING DRIVE,57TH STREET,NB,FT,3,,CHICAGO,King Drive & 57th Street
POINT (-87.697269033 41.910337105999986),17128,NORTH AVENUE,CALIFORNIA,WB,FS,72,,CHICAGO,North Ave & California
POINT (-87.656400255 41.939938874000006),9300,BELMONT,SEMINARY,WB,NS,77,N77,CHICAGO,Belmont & Seminary
POINT (-87.72544814399998 41.877217352),14630,PULASKI,JACKSON,NB,FS,53,N53,CHICAGO,Pulaski & Jackson
POINT (-87.73461230499998 41.97552319699997),15478,FOSTER,TRIPP,WB,FT,92,,CHICAGO,Foster & Tripp
POINT (-87.64661600099998 41.85980799999999),5924,HALSTED,16TH STREET,NB,NS,"8,18,N62",N62,CHICAGO,Halsted & 16th Street
POINT (-87.69467400000002 41.82817399999999),4175,CALIFORNIA,36TH STREET,NB,NS,94,,CHICAGO,California & 36th Street
POINT (-87.66526503300003 41.81780933800002),6075,ASHLAND,42ND STREET,SB,NS,9,N9,CHICAGO,Ashland & 42nd Street
POINT (-87.70623939900003 41.88088874499999),14598,KEDZIE,MADISON,SB,FS,52,,CHICAGO,Kedzie & Madison
POINT (-87.67797665199998 41.92485747799998),8841,DAMEN,FULLERTON,SB,FS,50,,CHICAGO,Damen & Fullerton
POINT (-87.57917893299998 41.72235651599999),12093,95TH STREET,CONSTANCE,EB,NS,100,,CHICAGO,95th Street & Constance
POINT (-87.74183672499998 41.917050437),4132,ARMITAGE,4600 WEST,WB,MB,73,,CHICAGO,4600 W Armitage
POINT (-87.68329 42.06416999999999),14681,CENTRAL STREET,RIDGE,WB,NS,201,,EVANSTON,Central Street & Ridge
POINT (-87.63301920499998 41.875374572),17578,FINANCIAL PLACE,IDA B WELLS DRIVE,NB,NS,36,,CHICAGO,Financial Place & Ida B Wells Drive (LaSalle St Station)
POINT (-87.68950849499998 41.975958134999985),17583,FOSTER,WESTERN,WB,FS,92,,CHICAGO,Foster & Western
POINT (-87.67983033799999 41.97609519100001),17582,FOSTER,DAMEN,WB,FS,92,,CHICAGO,Foster & Damen
POINT (-87.68821429399998 41.95029151),8419,WESTERN,GRACE,NB,NS,49,N49,CHICAGO,Western & Grace
POINT (-87.67908021900001 41.961383528),11352,MONTROSE,DAMEN,EB,NS,78,,CHICAGO,Montrose & Damen
POINT (-87.67884093999999 41.953939128),8827,DAMEN,IRVING PARK/LINCOLN,SB,FS,50,,CHICAGO,Damen & Irving Park/Lincoln
POINT (-87.82868795399997 41.96685177400002),9748,LAWRENCE,VINE,WB,NS,81W,,NORRIDGE,Lawrence & Vine
POINT (-87.83643297399999 41.96669985300002),9751,LAWRENCE,CUMBERLAND,WB,NS,81W,,NORRIDGE,Lawrence & Cumberland
POINT (-87.74401578700002 41.931629577000024),11084,DIVERSEY,KILPATRICK,WB,NS,76,,CHICAGO,Diversey & Kilpatrick
POINT (-87.67304985599998 41.74297237899998),8801,DAMEN,83RD STREET,SB,NS,48,,CHICAGO,Damen & 83rd Street
POINT (-87.700303217 41.924607519000006),15041,MILWAUKEE,FULLERTON,SEB,FS,56,,CHICAGO,Milwaukee & Fullerton
POINT (-87.664996277 41.80504055900002),6082,ASHLAND,49TH STREET,SB,NS,9,N9,CHICAGO,Ashland & 49th Street
POINT (-87.63626476299999 41.918368308000026),1405,ARMITAGE,CLARK,EB,NS,73,,CHICAGO,Armitage & Clark
POINT (-87.66399780199998 41.93969678100001),9284,BELMONT,SOUTHPORT,EB,NS,77,N77,CHICAGO,Belmont & Southport
POINT (-87.73714467600001 41.938891625),9265,BELMONT,KOSTNER,EB,NS,77,N77,CHICAGO,Belmont & Kostner
POINT (-87.69291620500002 41.76460902000002),10121,71ST STREET,CALIFORNIA,WB,NS,"67,94",,CHICAGO,71st Street & California
POINT (-87.55850500000003 41.737345000000005),9458,87TH STREET,MARQUETTE AVENUE (west le,WB,NS,87,,CHICAGO,87th Street & Marquette Avenue
POINT (-87.71936659400001 41.83701865400002),7430,31ST STREET,HAMLIN,WB,NS,"35,82",,CHICAGO,31st Street & Hamlin
POINT (-87.684068013 41.823084709),7778,PERSHING,WESTERN BOULEVARD,WB,NS,39,,CHICAGO,Pershing & Western Boulevard
POINT (-87.63298377500001 41.91103395599998),1450,LASALLE,NORTH AVENUE,NB,NS,156,,CHICAGO,LaSalle & North Ave
POINT (-87.62094794400002 41.69103115899998),17232,MICHIGAN,112TH STREET,NB,FS,"34,119",N34,CHICAGO,Michigan & 112th Street
POINT (-87.69733014299999 41.924983112999996),17337,CALIFORNIA,FULLERTON,NB,FS,94,,CHICAGO,California & Fullerton
POINT (-87.704308529 41.82274650900001),17341,KEDZIE,PERSHING,NB,FS,52,,CHICAGO,Kedzie & Pershing
POINT (-87.68718373000002 41.914096253000025),17345,WESTERN,BLOOMINGDALE,NB,FS,49,N49,CHICAGO,Western & Bloomingdale
POINT (-87.705172704 41.85192851400001),17415,KEDZIE,CERMAK,NB,FS,52,,CHICAGO,Kedzie & Cermak
POINT (-87.606269999 41.80033300000002),2505,COTTAGE GROVE,52ND STREET,NB,NS,"2,4",N4,CHICAGO,Cottage Grove & 52nd Street
POINT (-87.79925199899998 41.93077899999997),10967,DIVERSEY,NEWLAND,EB,NS,76,,CHICAGO,Diversey & Newland
POINT (-87.658688687 41.692101320000006),2873,111TH STREET,BISHOP,EB,NS,111,,CHICAGO,111th Street & Bishop
POINT (-87.676511001 41.97600400099998),4787,FOSTER,WOLCOTT,EB,NS,"50,92",,CHICAGO,Foster & Wolcott
POINT (-87.76548600000001 41.992458),11640,CENTRAL,PRESCOTT,NB,NT,85A,,CHICAGO,Central & Prescott
POINT (-87.66080799899999 42.000247),1028,SHERIDAN,ARTHUR,SB,FS,"147,155",0,CHICAGO,Sheridan & Arthur
POINT (-87.77597100100002 41.929373999999996),9578,AUSTIN,SCHUBERT,SB,NS,91,,CHICAGO,Austin & Schubert
POINT (-87.80226566699997 41.98017093300001),9817,HIGGINS,NORDICA,NWB,NS,88,,CHICAGO,Higgins & Nordica
POINT (-87.60579646100001 41.769585678),2572,COTTAGE GROVE,69TH STREET,SB,NS,4,,CHICAGO,Cottage Grove & 69th Street
POINT (-87.683624683 41.80847328700003),8090,47TH STREET,WESTERN BOULEVARD,WB,NS,47,,CHICAGO,47th Street & Western Boulevard
POINT (-87.69943129900003 41.822744632000024),7793,PERSHING,SACRAMENTO,WB,NS,39,,CHICAGO,Pershing & Sacramento
POINT (-87.61897864600002 41.816665278000016),8004,43RD STREET,GREEN LINE STATION,WB,MB,43,,CHICAGO,43rd Green Line Station
POINT (-87.68180995199998 41.976042259999986),4807,FOSTER,HOYNE,WB,NS,92,,CHICAGO,Foster & Hoyne
POINT (-87.79097193299998 41.909139298000014),996,NORTH AVENUE,NATOMA,WB,FS,72,,CHICAGO,North Ave & Natoma
POINT (-87.60279732700002 41.75868373100002),10875,75TH STREET,DREXEL,WB,NS,75,,CHICAGO,75th Street & Drexel
POINT (-87.632137682 41.677976520000016),12420,119TH STREET,STEWART,WB,NS,119,,CHICAGO,119th Street & Stewart
POINT (-87.54242196000001 41.702850592999994),12269,106TH STREET,MACKINAW,WB,NT,"26,100",,CHICAGO,106th Street & Mackinaw
POINT (-87.66912558799999 41.721231214),3474,95TH STREET,LONGWOOD (west leg),WB,FT,95,,CHICAGO,95th Street & Longwood
POINT (-87.65271876700001 41.79425229899999),10598,GARFIELD,ABERDEEN,WB,FS,55,N55,CHICAGO,Garfield & Aberdeen
POINT (-87.67872899899999 41.87403699999999),216,HARRISON,HOYNE,WB,NS,7,,CHICAGO,Harrison & Hoyne
POINT (-87.546849377 41.73018105199998),7372,91ST STREET,BRANDON,WB,NS,"26,30,87",,CHICAGO,91st Street & Brandon
POINT (-87.68259377099997 41.99071396300002),11483,PETERSON,2100 W,WB,MB,84,,CHICAGO,2100 W Peterson
POINT (-87.64150113400001 41.75074265500001),2651,79TH STREET,UNION,WB,NS,"8A,79",N79,CHICAGO,79th Street & Union
POINT (-87.74973209000001 41.91695175299998),4136,ARMITAGE,LAPORTE,WB,NS,73,,CHICAGO,Armitage & Laporte
POINT (-87.65517799999998 41.72140200000001),3466,95TH STREET,THROOP,WB,NS,"N9,95",N9,CHICAGO,95th Street & Throop
POINT (-87.53755959799997 41.69192605699999),7282,112TH STREET,AVENUE M,WB,NS,30,,CHICAGO,112th Street & Avenue M
POINT (-87.64857359199999 41.85808315600002),6806,18TH STREET,PEORIA (west leg),WB,NS,18,,CHICAGO,18th Street & Peoria
POINT (-87.665405954 41.89108141700001),783,GRAND,ARMOUR,WB,NS,65,,CHICAGO,Grand & Armour
POINT (-87.63465985300002 41.903785035),2033,DIVISION,WELLS,EB,NS,70,,CHICAGO,Division & Wells
POINT (-87.73020000000002 41.87696299999999),21,JACKSON,KEELER,EB,FS,126,,CHICAGO,Jackson & Keeler
POINT (-87.64313113399999 41.735976478),14506,87TH STREET,HALSTED,EB,FS,"24,87",N87,CHICAGO,87th Street & Halsted
POINT (-87.672091948 41.903194896),17131,DIVISION,WOOD,EB,FS,70,,CHICAGO,Division & Wood
POINT (-87.67409147799998 42.008930995000014),12055,LUNT,CLARK,EB,NS,96,,CHICAGO,Lunt & Clark
POINT (-87.615482531 41.769280546000005),7220,69TH STREET,KING DRIVE,EB,NS,"N5,30,67",N5,CHICAGO,69th Street & King Drive
POINT (-87.68391300000002 41.87388199999998),189,HARRISON,OAKLEY,EB,NS,7,,CHICAGO,Harrison & Oakley
POINT (-87.744822 41.871076000000016),10285,CICERO,LEXINGTON,NB,NS,54,,CHICAGO,Cicero & Lexington (Blue Line)
POINT (-87.67921999999999 41.972305000000006),8959,DAMEN,ARGYLE,NB,NS,50,,CHICAGO,Damen & Argyle
POINT (-87.78532602199999 41.922758156999976),17192,NARRAGANSETT,GRAND,NB,FS,86,,CHICAGO,Narragansett & Grand
POINT (-87.72497574099998 41.86268890100001),17213,PULASKI,14TH STREET,NB,FS,53,,CHICAGO,Pulaski & 14th Street
POINT (-87.68699223099998 41.90681175999998),17344,WESTERN,HIRSCH,NB,FS,49,N49,CHICAGO,Western & Hirsch
POINT (-87.67298324400002 41.736234578999984),8703,DAMEN,87TH STREET,SEB,TERM,"48,95",,CHICAGO,Damen & 87th Street Terminal
POINT (-87.674692999 41.80681100100003),8766,DAMEN,48TH STREET,SB,NS,48,,CHICAGO,Damen & 48th Street
POINT (-87.64829800000001 41.913730999999984),5952,HALSTED,WILLOW,NB,NS,8,,CHICAGO,Halsted & Willow
POINT (-87.65471000000002 41.96534100100001),1177,SHERIDAN,WILSON,NB,NS,151,,CHICAGO,Sheridan & Wilson
POINT (-87.644422153 41.769027714),14495,HALSTED,69TH STREET,NB,FS,8,,CHICAGO,Halsted & 69th Street
POINT (-87.67199048499998 41.70659382600002),17261,103RD STREET,SEELEY (east leg),WB,NS,103,,CHICAGO,103rd Street & Seeley
POINT (-87.64244974500002 41.793937793),10537,GARFIELD,UNION,EB,FS,55,N55,CHICAGO,Garfield & Union
POINT (-87.69726742900002 41.922931045999974),5554,MILWAUKEE,CALIFORNIA,NWB,NS,56,,CHICAGO,Milwaukee & California
POINT (-87.63138442899998 41.81648775100001),8011,43RD STREET,WENTWORTH,WB,FS,43,,CHICAGO,43rd Street & Wentworth
POINT (-87.659601339 41.95090891699999),14432,CLARK,GRACE,SB,FS,22,N22,CHICAGO,Clark & Grace
POINT (-87.62992435400002 41.85300859900002),5122,CERMAK,CLARK,WB,NS,21,,CHICAGO,Cermak & Clark (Red Line)
POINT (-87.67681005700001 41.88476449000001),14962,DAMEN,LAKE,SB,FS,50,,CHICAGO,Damen & Lake
POINT (-87.64901500000002 41.93453199999999),5963,HALSTED,GEORGE,NB,MT,8,,CHICAGO,Halsted & George
POINT (-87.65529068400002 41.70672970200002),12153,103RD STREET,VINCENNES (east RR CROSSING),EB,FS,103,,CHICAGO,Julian High School
POINT (-87.648009651 41.90384567199999),15151,HALSTED,DIVISION,NB,FS,8,,CHICAGO,Halsted & Division
POINT (-87.72509245200001 41.858805485000005),6741,16TH STREET,PULASKI,EB,NS,18,,CHICAGO,16th Street & Pulaski
POINT (-87.63917427000001 41.933108687000015),1148,SHERIDAN,DIVERSEY,NB,FS,"77,134,143,151,156",,CHICAGO,Sheridan & Diversey
POINT (-87.60468033500001 41.72545666399998),2596,COTTAGE GROVE,93RD STREET,SB,FS,"4,N5,95",N5,CHICAGO,Cottage Grove & 93rd Street
POINT (-87.71308099999999 41.866258000000016),279,ROOSEVELT,ST. LOUIS,EB,NS,12,,CHICAGO,Roosevelt & St. Louis
POINT (-87.77532377300003 41.89823206900002),9595,AUSTIN,AUGUSTA,SB,FS,91,,OAK PARK,Austin & Augusta
POINT (-87.60532522400001 41.760331776999976),2483,COTTAGE GROVE,74TH STREET,NB,NS,4,,CHICAGO,Cottage Grove & 74th Street
POINT (-87.69323168800003 41.85201032100002),15778,CERMAK,WASHTENAW,WB,FS,21,,CHICAGO,Cermak & Washtenaw
POINT (-87.71045899900002 41.86651899999998),11225,HOMAN,ROOSEVELT,NB,FS,82,,CHICAGO,Homan & Roosevelt
POINT (-87.625107001 41.779987000000006),3432,63RD STREET,STATE,EB,FS,63,N63,CHICAGO,63rd Street & State
POINT (-87.63962111000001 41.932844217000024),11035,DIVERSEY,SHERIDAN/LAKEVIEW,EB,NS,76,,CHICAGO,Diversey & Sheridan/Lakeview
POINT (-87.70777900000002 41.93926499999998),7860,BELMONT,KEDZIE,EB,NS,77,N77,CHICAGO,Belmont & Kedzie
POINT (-87.64362232500002 41.91092213899998),916,NORTH AVENUE,LARRABEE,EB,NS,"N9,72",N9,CHICAGO,North Ave & Larrabee
POINT (-87.63531256099998 41.852809562000004),6953,CERMAK,ARCHER,EB,NS,21,,CHICAGO,Cermak & Archer
POINT (-87.73636099999999 41.91003600099998),696,GRAND,KOSTNER,SEB,NS,65,,CHICAGO,Grand & Kostner
POINT (-87.71109299900002 41.882803000000024),11172,HOMAN,WASHINGTON,SB,NS,82,,CHICAGO,Homan & Washington
POINT (-87.696413425 41.88402683200002),15302,CALIFORNIA,LAKE,SB,FS,94,,CHICAGO,California & Lake (Green Line)
POINT (-87.63153400099998 41.904023000999985),1850,CLARK,DIVISION,SB,NS,22,N22,CHICAGO,Clark & Division (Red Line)
POINT (-87.76733568999998 41.960587171999975),11525,CENTRAL,MONTROSE,SB,NS,85,,CHICAGO,Central & Montrose
POINT (-87.64347358100002 41.948821642999974),1162,LAKE SHORE,ADDISON,NB,FT,"135,146,151",,CHICAGO,Lake Shore & Addison
POINT (-87.60510869799998 41.75115870100001),2478,COTTAGE GROVE,79TH STREET,NB,NS,4,,CHICAGO,Cottage Grove & 79th Street
POINT (-87.633980001 41.88579800100001),4630,WELLS,LAKE,SB,NS,37,,CHICAGO,Wells & Lake
POINT (-87.62382739899999 41.85812678100001),1575,MICHIGAN,18TH STREET,NB,FS,"1,3,4",N4,CHICAGO,Michigan & 18th Street
POINT (-87.71090999900002 41.88082000000003),11236,HOMAN,MADISON,NB,NS,82,,CHICAGO,Homan & Madison
POINT (-87.65975363000001 41.976856501999976),4794,BROADWAY,FOSTER,NB,FS,"36,92",,CHICAGO,Broadway & Foster
POINT (-87.695852887 41.86151083599998),4245,CALIFORNIA,OGDEN,SB,NS,94,,CHICAGO,California & Ogden
POINT (-87.68890281900002 41.97294440799999),1664,WESTERN,WINNEMAC,NB,NS,"49,49B",N49,CHICAGO,Western & Winnemac
POINT (-87.64858020499997 41.96566508000001),3773,MARINE DRIVE,WILSON,NB,FS,"81,136,146",N81,CHICAGO,Marine Drive & Wilson
POINT (-87.74720492099999 41.95514223999999),10336,CICERO,BELLE PLAINE,NB,NS,"54,54A",,CHICAGO,Cicero & Belle Plaine
POINT (-87.62939634999998 41.886183571000004),1885,DEARBORN,WACKER & LAKE,NB,MB,"22,36,62",N22,CHICAGO,Dearborn & Wacker/Lake
POINT (-87.66131915800003 41.85524468),17269,LOOMIS,CULLERTON,SB,NS,60,N60,CHICAGO,Loomis & Cullerton
POINT (-87.76447857800002 41.86715994000002),17224,CENTRAL,FILLMORE,SB,FS,12,,CHICAGO,Central & Fillmore
